               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10514,            0.040934,            0.039786,            0.022294,             0.20368,             0.02239,           0.0061534,            0.090003,            0.022905,            0.035144,            0.070566,           0.0032704,           0.0032704
                   1,            0.079466,            0.045806,            0.034758,             0.10689,             0.19778,            0.061274,            0.015699,            0.078633,            0.020648,             0.03199,            0.040435,            0.006473,            0.006473
                   2,            0.072879,            0.039072,             0.03233,             0.16193,             0.35111,             0.15989,            0.055767,            0.072988,            0.018401,            0.029865,            0.010173,           0.0095436,           0.0095436
                   3,            0.066171,            0.036675,            0.030656,             0.51001,             0.35907,             0.18301,            0.060823,            0.065552,            0.018676,            0.026472,            0.009406,            0.009406,            0.009406
                   4,             0.06186,            0.036801,            0.028269,             0.22873,             0.49097,             0.24692,            0.077109,            0.063745,            0.018784,            0.023605,            0.009406,            0.009406,            0.009406
                   5,            0.057694,            0.035201,             0.02646,             0.33456,             0.48983,             0.32524,             0.13275,            0.059458,            0.017861,            0.021746,            0.009208,            0.009208,            0.009208
                   6,            0.054291,            0.034723,             0.02495,             0.36416,             0.48932,              0.3584,             0.15161,            0.059637,            0.017696,            0.020489,             0.00901,             0.00901,             0.00901
                   7,            0.053131,            0.033594,            0.023768,              0.3201,             0.53019,             0.32675,             0.14129,            0.057579,            0.017699,            0.021402,            0.008812,            0.008812,            0.008812
                   8,            0.050964,            0.033357,            0.023242,              0.3746,             0.50836,             0.33979,              0.1316,            0.059456,             0.01751,            0.019823,            0.008614,            0.008614,            0.008614
                   9,            0.049714,            0.033075,            0.022129,             0.41397,             0.53069,             0.40183,             0.18251,            0.056624,            0.017276,            0.018735,            0.008416,            0.008416,            0.008416
                  10,            0.048509,            0.033856,            0.022143,             0.43858,             0.52833,             0.43637,             0.19361,            0.060259,            0.016127,            0.018167,            0.008218,            0.008218,            0.008218
                  11,            0.046927,            0.032366,             0.02118,             0.44078,             0.50844,             0.40342,             0.19515,            0.055935,            0.016905,            0.021444,             0.00802,             0.00802,             0.00802
                  12,            0.046043,            0.032484,            0.020388,             0.45114,             0.50329,              0.4373,               0.194,              0.0534,            0.016929,             0.01841,            0.007822,            0.007822,            0.007822
                  13,            0.045443,            0.031559,            0.019482,             0.43459,             0.56214,             0.45498,             0.20287,            0.053694,            0.017093,            0.017803,            0.007624,            0.007624,            0.007624
